layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
2,True,900,0.7,1,1.2166,0.4689,1.0691,0.5639
2,True,900,0.7,2,1.0904,0.5443,0.9435,0.6441
2,True,900,0.7,3,1.0187,0.5821000000000001,0.8166,0.6839
2,True,900,0.7,4,0.9597,0.6108,0.7619,0.7239
2,True,900,0.7,5,0.9123,0.6334000000000001,0.722,0.733
2,True,900,0.7,6,0.8744,0.6524,0.6538,0.7685
2,True,900,0.7,7,0.8337,0.6718999999999999,0.6158,0.7974
2,True,900,0.7,8,0.8016,0.6857,0.5468,0.802
2,True,900,0.7,9,0.7681,0.7012999999999999,0.5586,0.8178
2,True,900,0.7,10,0.74,0.7121999999999999,0.5607,0.8156
2,True,900,0.7,11,0.7137,0.7256999999999999,0.492,0.8201
2,True,900,0.7,12,0.6884,0.7368000000000001,0.4271,0.8534
2,True,900,0.7,13,0.6672,0.7445,0.3888,0.8601000000000001
2,True,900,0.7,14,0.6504,0.7531,0.3822,0.8755
2,True,900,0.7,15,0.6303,0.7618,0.4415,0.8578
2,True,900,0.7,16,0.6142,0.7696999999999999,0.3708,0.8711
2,True,900,0.7,17,0.599,0.7742,0.3651,0.8733
2,True,900,0.7,18,0.5752,0.7836,0.3441,0.8931999999999999
2,True,900,0.7,19,0.562,0.789,0.3408,0.8843000000000001
2,True,900,0.7,20,0.5474,0.7953,0.3374,0.8998999999999999
2,True,900,0.7,21,0.5371,0.7998000000000001,0.3125,0.8978
2,True,900,0.7,22,0.5274,0.8038,0.3004,0.9155
2,True,900,0.7,23,0.5131,0.8085,0.3022,0.9087999999999999
2,True,900,0.7,24,0.5034,0.8128,0.2953,0.9111
2,True,900,0.7,25,0.4894,0.8188,0.2711,0.9243000000000001
2,True,900,0.7,26,0.4818,0.82,0.2544,0.9354
2,True,900,0.7,27,0.4728,0.8233,0.2242,0.9420999999999999
2,True,900,0.7,28,0.4643,0.8276,0.2257,0.9399
2,True,900,0.7,29,0.4537,0.8338,0.2461,0.9331999999999999
2,True,900,0.7,30,0.4457,0.8348,0.217,0.9377
2,True,900,0.7,31,0.4353,0.8395,0.2341,0.9377
2,True,900,0.7,32,0.43,0.8405,0.2061,0.9399
2,True,900,0.7,33,0.4238,0.8439,0.2145,0.9331999999999999
2,True,900,0.7,34,0.4161,0.8468000000000001,0.2069,0.9289000000000001
2,True,900,0.7,35,0.4072,0.8491,0.2044,0.9420999999999999
2,True,900,0.7,36,0.4046,0.85,0.2189,0.9289000000000001
2,True,900,0.7,37,0.4022,0.852,0.1876,0.9420999999999999
2,True,900,0.7,38,0.3942,0.8565999999999999,0.2028,0.9334
2,True,900,0.7,39,0.3849,0.8576999999999999,0.1814,0.9420999999999999
2,True,900,0.7,40,0.3804,0.8611,0.1692,0.9444
2,True,900,0.7,41,0.375,0.8614,0.1638,0.9420999999999999
2,True,900,0.7,42,0.3732,0.8628,0.1692,0.9511
2,True,900,0.7,43,0.3676,0.8632,0.1896,0.9312999999999999
2,True,900,0.7,44,0.3631,0.866,0.1744,0.9468000000000001
2,True,900,0.7,45,0.3555,0.8689,0.1905,0.9356
2,True,900,0.7,46,0.354,0.8706999999999999,0.1544,0.9269
2,True,900,0.7,47,0.3475,0.8713,0.1745,0.9356
2,True,900,0.7,48,0.3452,0.8723000000000001,0.161,0.9401
2,True,900,0.7,49,0.3425,0.8743000000000001,0.1762,0.9269
2,True,900,0.7,50,0.335,0.8759999999999999,0.1562,0.9401
2,True,900,0.7,51,0.3392,0.8748999999999999,0.1632,0.9224
2,True,900,0.7,52,0.3291,0.879,0.1667,0.9334
2,True,900,0.7,53,0.3276,0.8789,0.1648,0.9511
2,True,900,0.7,54,0.3259,0.8795000000000001,0.1607,0.9378
2,True,900,0.7,55,0.3196,0.8825,0.1383,0.9533
2,True,900,0.7,56,0.3186,0.8841,0.1622,0.9533
2,True,900,0.7,57,0.3148,0.8835999999999999,0.1173,0.9555
2,True,900,0.7,58,0.3105,0.885,0.1246,0.9665
2,True,900,0.7,59,0.3124,0.884,0.1287,0.9466
2,True,900,0.7,60,0.3048,0.8870999999999999,0.1274,0.9488
2,True,900,0.7,61,0.3034,0.8878,0.143,0.9488
2,True,900,0.7,62,0.3017,0.8885,0.1069,0.9555
2,True,900,0.7,63,0.2964,0.8896,0.1188,0.9578
2,True,900,0.7,64,0.2996,0.8885,0.1201,0.9578
2,True,900,0.7,65,0.2895,0.8919,0.1182,0.9578
2,True,900,0.7,66,0.2891,0.8920999999999999,0.1286,0.9511
2,True,900,0.7,67,0.2921,0.8924,0.1304,0.9555
2,True,900,0.7,68,0.2881,0.8931,0.1265,0.9533
2,True,900,0.7,69,0.2842,0.8946999999999999,0.1119,0.96
2,True,900,0.7,70,0.2814,0.8969,0.1174,0.96
2,True,900,0.7,71,0.2834,0.8939,0.1085,0.96
2,True,900,0.7,72,0.2826,0.8959999999999999,0.1243,0.96
2,True,900,0.7,73,0.2815,0.8956000000000001,0.1072,0.9578
2,True,900,0.7,74,0.2725,0.9001,0.1076,0.9621999999999999
2,True,900,0.7,75,0.274,0.8975,0.1206,0.9578
2,True,900,0.7,76,0.2729,0.8986,0.1196,0.9555
2,True,900,0.7,77,0.2691,0.9003,0.1045,0.9621999999999999
2,True,900,0.7,78,0.2667,0.9003,0.0955,0.9621999999999999
2,True,900,0.7,79,0.2664,0.9007999999999999,0.0907,0.9645
2,True,900,0.7,80,0.2682,0.9,0.1018,0.9645
2,True,900,0.7,81,0.2646,0.9017000000000001,0.109,0.9578
2,True,900,0.7,82,0.2611,0.9025,0.1024,0.96
2,True,900,0.7,83,0.2626,0.9026000000000001,0.1252,0.9555
2,True,900,0.7,84,0.2604,0.9033,0.088,0.9645
2,True,900,0.7,85,0.26,0.9034,0.0963,0.9712000000000001
2,True,900,0.7,86,0.2549,0.9054000000000001,0.0872,0.9645
2,True,900,0.7,87,0.2549,0.9046,0.0792,0.9621999999999999
2,True,900,0.7,88,0.2526,0.9064,0.0761,0.9667
2,True,900,0.7,89,0.2531,0.9062,0.0773,0.9734
2,True,900,0.7,90,0.2502,0.9081,0.0818,0.9712000000000001
2,True,900,0.7,91,0.2512,0.907,0.0911,0.9712000000000001
2,True,900,0.7,92,0.2531,0.9061,0.0736,0.9756
2,True,900,0.7,93,0.2467,0.9093000000000001,0.0929,0.9712000000000001
2,True,900,0.7,94,0.2427,0.9085,0.0667,0.9712000000000001
2,True,900,0.7,95,0.2421,0.9085,0.1019,0.9689
2,True,900,0.7,96,0.2445,0.9081,0.0899,0.9734
2,True,900,0.7,97,0.2421,0.9095,0.0789,0.9734
2,True,900,0.7,98,0.245,0.9073,0.1,0.9734
2,True,900,0.7,99,0.241,0.9098,0.0891,0.9712000000000001
2,True,900,0.7,100,0.2405,0.9101,0.1051,0.9645
2,True,900,0.7,101,0.2408,0.9101,0.0978,0.9712000000000001
2,True,900,0.7,102,0.2391,0.9104000000000001,0.1083,0.9712000000000001
2,True,900,0.7,103,0.2374,0.9112,0.1131,0.9734
