Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc,Min,Sec
1,1.1965,47.84%,0.9849,59.98%,0,22
2,1.0508,56.65%,0.8459,65.95%,0,22
3,0.9774,60.41%,0.7976,68.66%,0,22
4,0.9161,63.28%,0.7183,73.56%,0,22
5,0.8693,65.51%,0.6215,78.86%,0,22
6,0.8280,67.27%,0.6135,77.32%,0,22
7,0.7918,69.02%,0.5645,78.02%,0,22
8,0.7546,70.90%,0.5311,81.10%,0,22
9,0.7270,72.16%,0.5067,82.69%,0,22
10,0.6984,73.32%,0.5058,80.68%,0,22
11,0.6736,74.53%,0.4381,84.68%,0,22
12,0.6500,75.22%,0.4045,88.20%,0,22
13,0.6298,76.08%,0.4365,86.88%,0,22
14,0.6141,76.96%,0.4199,86.45%,0,22
15,0.5938,77.62%,0.3482,89.11%,0,22
16,0.5748,78.49%,0.4742,86.02%,0,22
17,0.5600,79.03%,0.4555,86.04%,0,22
18,0.5438,79.85%,0.4716,86.69%,0,22
19,0.5314,80.28%,0.3292,89.78%,0,22
20,0.5194,80.67%,0.3185,89.34%,0,22
21,0.5092,81.27%,0.3608,89.34%,0,22
22,0.4994,81.28%,0.3077,91.11%,0,22
23,0.4866,82.16%,0.3301,88.67%,0,22
24,0.4787,82.39%,0.2768,91.33%,0,22
25,0.4698,82.61%,0.2992,90.68%,0,22
26,0.4559,83.09%,0.2526,90.88%,0,22
27,0.4548,83.20%,0.3272,89.35%,0,22
28,0.4499,83.51%,0.2721,91.57%,0,22
29,0.4347,83.96%,0.2547,91.14%,0,22
30,0.4282,84.29%,0.3133,89.59%,0,22
31,0.4235,84.38%,0.3186,91.14%,0,22
32,0.4124,84.94%,0.3095,92.46%,0,22
33,0.4096,84.99%,0.3355,91.57%,0,22
34,0.3946,85.50%,0.2316,91.57%,0,22
35,0.3944,85.50%,0.2499,90.90%,0,22
36,0.3927,85.64%,0.3076,91.79%,0,22
37,0.3865,85.73%,0.3143,91.79%,0,22
38,0.3806,86.11%,0.3283,91.79%,0,22
39,0.3759,86.18%,0.3010,92.69%,0,22
40,0.3727,86.26%,0.3523,92.02%,0,22
41,0.3692,86.30%,0.2596,92.24%,0,22
42,0.3659,86.46%,0.2845,92.91%,0,22
43,0.3612,86.76%,0.3478,90.47%,0,22
44,0.3540,86.93%,0.2372,92.91%,0,22
45,0.3486,87.19%,0.2590,90.04%,0,22
46,0.3434,87.39%,0.2609,92.69%,0,22
47,0.3432,87.48%,0.2583,91.79%,0,22
48,0.3409,87.42%,0.2626,92.02%,0,22
49,0.3394,87.55%,0.2366,92.89%,0,22
50,0.3364,87.64%,0.2885,91.59%,0,22
51,0.3271,88.01%,0.2114,94.45%,0,22
52,0.3234,88.01%,0.2492,91.59%,0,22
53,0.3291,87.82%,0.2892,90.92%,0,22
54,0.3245,88.15%,0.2630,92.03%,0,22
55,0.3169,88.30%,0.2617,91.59%,0,22
56,0.3192,88.17%,0.2135,92.93%,0,22
57,0.3115,88.48%,0.2793,91.59%,0,22
58,0.3107,88.56%,0.2125,92.91%,0,22
59,0.3098,88.68%,0.2670,93.13%,0,22
60,0.3080,88.75%,0.2562,92.69%,0,22
61,0.3057,88.70%,0.1920,94.23%,0,22
62,0.3017,88.99%,0.2579,92.91%,0,22
63,0.2974,88.99%,0.2783,91.36%,0,22
64,0.2960,89.02%,0.2180,93.58%,0,22
65,0.2942,89.16%,0.2332,93.58%,0,22
66,0.2931,89.16%,0.1854,94.23%,0,22
67,0.2900,89.26%,0.1951,94.45%,0,22
68,0.2911,89.20%,0.2354,92.91%,0,22
69,0.2864,89.46%,0.1834,94.88%,0,22
