layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
2,False,2700,0.6,1,1.3061,0.4104,1.2442,0.4236
2,False,2700,0.6,2,1.2033,0.4961,1.0763,0.5683
2,False,2700,0.6,3,1.1348,0.5381,1.004,0.6039
2,False,2700,0.6,4,1.0756,0.5672,0.9658,0.6284000000000001
2,False,2700,0.6,5,1.0243,0.5920000000000001,0.8636,0.642
2,False,2700,0.6,6,0.978,0.6146,0.8818,0.6396000000000001
2,False,2700,0.6,7,0.9328,0.6358,0.848,0.6620999999999999
2,False,2700,0.6,8,0.8983,0.6518999999999999,0.7715,0.6976
2,False,2700,0.6,9,0.8661,0.6658,0.7317,0.7042
2,False,2700,0.6,10,0.8432,0.6755,0.6945,0.6999
2,False,2700,0.6,11,0.8149,0.6918000000000001,0.6798,0.7442
2,False,2700,0.6,12,0.7846,0.7023,0.6459,0.7531
2,False,2700,0.6,13,0.765,0.7123999999999999,0.6745,0.7445
2,False,2700,0.6,14,0.7394,0.7226,0.632,0.7643000000000001
2,False,2700,0.6,15,0.7283,0.7288,0.6134,0.7667
2,False,2700,0.6,16,0.711,0.7364,0.5554,0.8218000000000001
2,False,2700,0.6,17,0.6901,0.7445999999999999,0.5803,0.7754000000000001
2,False,2700,0.6,18,0.6744,0.7509,0.5309,0.8065000000000001
2,False,2700,0.6,19,0.6619,0.7573000000000001,0.5123,0.7867000000000001
2,False,2700,0.6,20,0.6505,0.7602,0.554,0.8001
2,False,2700,0.6,21,0.6411,0.7664,0.5381,0.78
2,False,2700,0.6,22,0.6283,0.7716,0.5121,0.8288
2,False,2700,0.6,23,0.6185,0.7762,0.5498,0.8024
2,False,2700,0.6,24,0.6078,0.7797,0.5228,0.8065000000000001
2,False,2700,0.6,25,0.6009,0.7822,0.5428,0.8046
2,False,2700,0.6,26,0.5938,0.7868999999999999,0.3983,0.8819
2,False,2700,0.6,27,0.5838,0.7902,0.5403,0.8090999999999999
2,False,2700,0.6,28,0.5787,0.7926000000000001,0.4863,0.8089
2,False,2700,0.6,29,0.5725,0.7957,0.4869,0.8220999999999999
2,False,2700,0.6,30,0.5672,0.7964,0.5089,0.8290000000000001
2,False,2700,0.6,31,0.5607,0.7996,0.4666,0.8201
2,False,2700,0.6,32,0.5541,0.8035,0.4236,0.8467
2,False,2700,0.6,33,0.5524,0.8023,0.4867,0.8243
2,False,2700,0.6,34,0.5445,0.8059000000000001,0.4508,0.8379000000000001
2,False,2700,0.6,35,0.5419,0.8084,0.4807,0.8178
2,False,2700,0.6,36,0.5338,0.8109999999999999,0.4972,0.8288
2,False,2700,0.6,37,0.5333,0.8122,0.4522,0.8288
2,False,2700,0.6,38,0.5304,0.8126000000000001,0.4761,0.8422
2,False,2700,0.6,39,0.5261,0.8145,0.4385,0.8334
2,False,2700,0.6,40,0.5198,0.8170000000000001,0.4737,0.8199
2,False,2700,0.6,41,0.5149,0.8179000000000001,0.5602,0.8223
2,False,2700,0.6,42,0.5187,0.8190000000000001,0.4758,0.8288
2,False,2700,0.6,43,0.5077,0.8214,0.513,0.8290000000000001
2,False,2700,0.6,44,0.518,0.8172,0.4913,0.8201
2,False,2700,0.6,45,0.5051,0.8222,0.5296,0.8201
2,False,2700,0.6,46,0.5047,0.8217,0.5066,0.8334
2,False,2700,0.6,47,0.5026,0.8233,0.4754,0.8379000000000001
2,False,2700,0.6,48,0.5002,0.8259000000000001,0.4357,0.8443999999999999
2,False,2700,0.6,49,0.4944,0.8255,0.505,0.8334
2,False,2700,0.6,50,0.4915,0.828,0.4158,0.8711
2,False,2700,0.6,51,0.4973,0.8256999999999999,0.4205,0.8645
2,False,2700,0.6,52,0.4901,0.8256,0.4232,0.8292
2,False,2700,0.6,53,0.4891,0.8271999999999999,0.4567,0.8379000000000001
2,False,2700,0.6,54,0.4854,0.8306999999999999,0.415,0.8644
2,False,2700,0.6,55,0.4841,0.8314,0.4818,0.8511
2,False,2700,0.6,56,0.4835,0.8299,0.4005,0.8711
2,False,2700,0.6,57,0.4839,0.8315,0.4093,0.8468000000000001
2,False,2700,0.6,58,0.4817,0.8299,0.403,0.8711
2,False,2700,0.6,59,0.4799,0.8318000000000001,0.4472,0.8445999999999999
2,False,2700,0.6,60,0.4784,0.8342,0.4539,0.8623000000000001
2,False,2700,0.6,61,0.4791,0.833,0.4521,0.8534
2,False,2700,0.6,62,0.4727,0.8344,0.4683,0.8423999999999999
2,False,2700,0.6,63,0.4733,0.8340000000000001,0.4333,0.8443999999999999
2,False,2700,0.6,64,0.4736,0.8334999999999999,0.4629,0.8443999999999999
2,False,2700,0.6,65,0.4725,0.8343,0.4144,0.8511
2,False,2700,0.6,66,0.47,0.8362999999999999,0.4589,0.8554
2,False,2700,0.6,67,0.4688,0.8356999999999999,0.381,0.8687999999999999
2,False,2700,0.6,68,0.4695,0.8369,0.3935,0.8578
2,False,2700,0.6,69,0.469,0.8373999999999999,0.4609,0.8578
2,False,2700,0.6,70,0.4673,0.836,0.4274,0.8733
2,False,2700,0.6,71,0.4679,0.8362,0.432,0.8558
2,False,2700,0.6,72,0.4638,0.8376,0.4665,0.8491
2,False,2700,0.6,73,0.465,0.8379000000000001,0.4541,0.8534999999999999
2,False,2700,0.6,74,0.4617,0.8404,0.4231,0.8356999999999999
2,False,2700,0.6,75,0.464,0.838,0.4012,0.8491
2,False,2700,0.6,76,0.4612,0.8392000000000001,0.3962,0.8578
