layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
2,False,4500,0.5,1,1.4548,0.26030000000000003,1.3712,0.2675
2,False,4500,0.5,2,1.3317,0.37560000000000004,1.3892,0.3367
2,False,4500,0.5,3,1.2486,0.45909999999999995,1.3735,0.2986
2,False,4500,0.5,4,1.1349,0.5275,1.4466,0.3164
2,False,4500,0.5,5,1.0122,0.6091,1.4944,0.3408
2,False,4500,0.5,6,0.8991,0.6668999999999999,1.6223,0.3075
2,False,4500,0.5,7,0.7374,0.745,1.687,0.3187
2,False,4500,0.5,8,0.6353,0.7812,1.8266,0.3477
2,False,4500,0.5,9,0.5388,0.8209000000000001,1.9646,0.341
2,False,4500,0.5,10,0.4068,0.8641,2.1218,0.3788
2,False,4500,0.5,11,0.3736,0.8812000000000001,2.3296,0.33640000000000003
2,False,4500,0.5,12,0.2829,0.9078,2.4272,0.3432
2,False,4500,0.5,13,0.2612,0.9094,2.5896,0.35200000000000004
2,False,4500,0.5,14,0.2321,0.9218999999999999,2.6977,0.3565
2,False,4500,0.5,15,0.1699,0.9512,2.771,0.3632
2,False,4500,0.5,16,0.1635,0.9422,2.8898,0.3431
2,False,4500,0.5,17,0.1494,0.9531000000000001,3.0277,0.35869999999999996
2,False,4500,0.5,18,0.128,0.9641,3.1099,0.3565
2,False,4500,0.5,19,0.103,0.9703,3.1347,0.36090000000000005
2,False,4500,0.5,20,0.0843,0.9781,3.227,0.36560000000000004
2,False,4500,0.5,21,0.087,0.975,3.3337,0.3453
2,False,4500,0.5,22,0.1022,0.9672,3.3761,0.341
2,False,4500,0.5,23,0.0748,0.9703,3.4236,0.3455
2,False,4500,0.5,24,0.0813,0.9716,3.4694,0.3566
2,False,4500,0.5,25,0.0699,0.9812000000000001,3.4611,0.3589
2,False,4500,0.5,26,0.0689,0.975,3.3551,0.37
2,False,4500,0.5,27,0.0691,0.9765999999999999,3.3959,0.37
2,False,4500,0.5,28,0.0428,0.9875,3.5613,0.37
2,False,4500,0.5,29,0.0808,0.975,3.6289,0.3477
2,False,4500,0.5,30,0.0666,0.9793999999999999,3.6372,0.3477
2,False,4500,0.5,31,0.0544,0.9843999999999999,3.6417,0.34990000000000004
2,False,4500,0.5,32,0.0493,0.9812000000000001,3.6515,0.3632
2,False,4500,0.5,33,0.0564,0.9828,3.6882,0.3721
2,False,4500,0.5,34,0.0566,0.9828,3.7244,0.3654
2,False,4500,0.5,35,0.0337,0.9906,3.7933,0.33649999999999997
2,False,4500,0.5,36,0.041,0.9922,3.8488,0.35200000000000004
2,False,4500,0.5,37,0.0431,0.9859,3.8798,0.3542
2,False,4500,0.5,38,0.0327,0.9891,3.9345,0.3542
2,False,4500,0.5,39,0.0428,0.9828,3.9464,0.3542
2,False,4500,0.5,40,0.0465,0.9875,3.9697,0.34979999999999994
2,False,4500,0.5,41,0.0326,0.9906,3.9711,0.3408
2,False,4500,0.5,42,0.0308,0.9906,3.9898,0.3431
2,False,4500,0.5,43,0.0571,0.9797,3.9808,0.3654
2,False,4500,0.5,44,0.0394,0.9906,3.9515,0.3654
2,False,4500,0.5,45,0.0292,0.9906,3.8758,0.3453
2,False,4500,0.5,46,0.0374,0.9891,3.856,0.3453
2,False,4500,0.5,47,0.0344,0.9875,3.8395,0.3565
2,False,4500,0.5,48,0.0313,0.9906,3.8639,0.33640000000000003
